date	pa_conc	strain	replicate	pheno
10192015	80	JU258	C	53.9473684210526
10192015	100	JU258	C	0
10192015	120	JU258	C	0
10192015	140	JU258	C	0
10132015	0	DL238	A	100
10132015	20	DL238	A	100
10132015	40	DL238	A	100
10132015	60	DL238	A	94.9720670391062
10132015	80	DL238	A	97.2972972972973
10132015	100	DL238	A	54.5454545454545
10132015	120	DL238	A	3.55329949238579
10132015	140	DL238	A	1.10497237569061
10152015	0	DL238	A	100
10152015	20	DL238	A	100
10152015	40	DL238	A	100
10152015	60	DL238	A	100
10152015	80	DL238	A	100
10152015	100	DL238	A	59.0163934426229
10152015	120	DL238	A	16.3934426229508
10152015	140	DL238	A	3.94736842105263
10192015	0	DL238	A	100
10192015	20	DL238	A	100
10192015	40	DL238	A	100
10192015	60	DL238	A	100
10192015	80	DL238	A	100
10192015	100	DL238	A	47.0588235294118
10192015	120	DL238	A	12.6760563380282
10192015	140	DL238	A	0
10132015	0	DL238	B	100
10132015	20	DL238	B	100
10132015	40	DL238	B	100
10132015	60	DL238	B	98.159509202454
10132015	80	DL238	B	86.7924528301887
10132015	100	DL238	B	32.2147651006711
10132015	120	DL238	B	2.29885057471264
10132015	140	DL238	B	1.55440414507772
10152015	0	DL238	B	100
10152015	20	DL238	B	100
10152015	40	DL238	B	100
10152015	60	DL238	B	100
10152015	80	DL238	B	100
10152015	100	DL238	B	85.5263157894737
10152015	120	DL238	B	16.6666666666667
10152015	140	DL238	B	0
10192015	0	DL238	B	100
10192015	20	DL238	B	100
10192015	40	DL238	B	98.7951807228916
10192015	60	DL238	B	98.8505747126437
10192015	80	DL238	B	97.8723404255319
10192015	100	DL238	B	40.2298850574713
10192015	120	DL238	B	16.6666666666667
10192015	140	DL238	B	0
10132015	0	DL238	C	100
10132015	20	DL238	C	100
10132015	40	DL238	C	100
10132015	60	DL238	C	97.2222222222222
10132015	80	DL238	C	89.9497487437186
10132015	100	DL238	C	54.9295774647887
10132015	120	DL238	C	5.79710144927536
10132015	140	DL238	C	0
10152015	0	DL238	C	100
10152015	20	DL238	C	100
10152015	40	DL238	C	100
10152015	60	DL238	C	100
10152015	80	DL238	C	100
10152015	100	DL238	C	61.1111111111111
10152015	120	DL238	C	20
10152015	140	DL238	C	6.17283950617284
10192015	0	DL238	C	100
10192015	20	DL238	C	100
10192015	40	DL238	C	98.989898989899
10192015	60	DL238	C	100
10192015	80	DL238	C	100
