date	pa_conc	strain	replicate	pheno	dose_mean
10152015	60	CB4856	A	100	97.73345414440563
10152015	80	CB4856	A	95.2941176470588	69.3832926827824
10152015	100	CB4856	A	2.77777777777778	2.173466965133632
10152015	120	CB4856	A	0	0
10152015	140	CB4856	A	0	0
10192015	0	CB4856	A	97.9166666666667	99.76851851851852
10192015	20	CB4856	A	100	99.36496525281572
10192015	40	CB4856	A	100	99.88545246277205
10192015	60	CB4856	A	96.9387755102041	97.73345414440563
10192015	80	CB4856	A	78.3333333333333	69.3832926827824
10192015	100	CB4856	A	1.0989010989011	2.173466965133632
10192015	120	CB4856	A	0	0
10192015	140	CB4856	A	0	0
10132015	0	CB4856	B	100	99.76851851851852
10132015	20	CB4856	B	98.1308411214953	99.36496525281572
10132015	40	CB4856	B	100	99.88545246277205
10132015	60	CB4856	B	96.7741935483871	97.73345414440563
10132015	80	CB4856	B	38.3177570093458	69.3832926827824
10132015	100	CB4856	B	0	2.173466965133632
10132015	120	CB4856	B	0	0
10132015	140	CB4856	B	0	0
10152015	0	CB4856	B	100	99.76851851851852
10152015	20	CB4856	B	100	99.36496525281572
10152015	40	CB4856	B	100	99.88545246277205
10152015	60	CB4856	B	100	97.73345414440563
10152015	80	CB4856	B	98.8505747126437	69.3832926827824
10152015	100	CB4856	B	9.52380952380952	2.173466965133632
10152015	120	CB4856	B	0	0
10152015	140	CB4856	B	0	0
10192015	0	CB4856	B	100	99.76851851851852
10192015	20	CB4856	B	100	99.36496525281572
10192015	40	CB4856	B	100	99.88545246277205
10192015	60	CB4856	B	97.2972972972973	97.73345414440563
10192015	80	CB4856	B	78.9473684210526	69.3832926827824
10192015	100	CB4856	B	1.04166666666667	2.173466965133632
10192015	120	CB4856	B	0	0
10192015	140	CB4856	B	0	0
10132015	0	CB4856	C	100	99.76851851851852
10132015	20	CB4856	C	100	99.36496525281572
10132015	40	CB4856	C	100	99.88545246277205
10132015	60	CB4856	C	92.436974789916	97.73345414440563
10132015	80	CB4856	C	37.8787878787879	69.3832926827824
10132015	100	CB4856	C	0	2.173466965133632
10132015	120	CB4856	C	0	0
